"Infiltration","Cultivar","Seed_treatment","Tillage_type","Numb_weeding","Numb_postHarv_herb","Numb_rastreo","Numb_preSow_herb","Numb_fertilizations","Numb_applic_foliar","Numb_applic_biofer","Num_postSow_herb","Numb_insecticides","Total_nitrogen","Total_phosphorus","Total_potassium","Clay","Silt","OM","CEC","Basis_saturation","Avg_min_temp","Avg_diurn_range","Acc_sol_energy","Freq_days_maxTemp_34","Acc_precipitation","Freq_days_minTemp_8","Avg_relative_humidiy","SD_relative_humidiy","Yield"
"D2","CRIOLLO","S0","LabConvTra",0,1,0,0,2,0,0,1,0,105.5,34.5,0,44,20,1.019558155,32.35618467,91.24216594,15.01485714,10.65828571,84243.2,0,698.5,0,82.26988571,5.544484884,1.5
"D2","CRIOLLO","S0","LabConvTra",0,1,0,0,2,0,0,1,1,105.5,34.5,0,44,20,1.019558155,32.35618467,91.24216594,15.27515528,10.70621118,78850.87,0,661.1,0,81.86838509,5.816844172,1.8
"D4","CRIOLLO","S0","LabConvTra",0,0,0,0,2,0,0,0,1,92,0,0,29,22,2.958520648,27.59935301,84.78686529,14.13316583,10.57839196,94430.19,0,557,0,82.26623116,5.070989819,1.3
"D4","CRIOLLO","S0","LabConvTra",0,0,0,0,2,0,0,1,1,92,0,0,29,22,2.958520648,27.59935301,84.78686529,14.44011299,10.48757062,84284.38,0,561.1,0,82.82225989,4.98527747,1.2
"D4","CRIOLLO","S0","LabConvTra",1,0,0,0,2,0,0,0,1,92,0,0,29,22,2.958520648,27.59935301,84.78686529,14.46610169,10.45254237,84120.2,0,569,0,82.88966102,5.030203536,1.3
"D2","CRIOLLO","S0","LabConvTra",0,0,0,0,2,0,0,1,1,101,23,0,44,20,1.019558155,32.35618467,91.24216594,13.670625,10.93625,74214.65,0,416,0.00625,82.4179375,5.425494801,1.3
"D2","CRIOLLO","S0","LabConvTra",0,0,0,0,2,0,0,1,1,93.6,27.6,0,44,20,1.019558155,32.35618467,91.24216594,14.45464481,10.47650273,86898.07,0,615.1,0,82.95054645,5.001568845,1.15
"D2","CRIOLLO","S0","LabConvTra",1,0,0,0,2,0,0,0,1,92,0,0,44,20,1.019558155,32.35618467,91.24216594,14.60218579,10.40765027,86533.26,0,682.1,0,82.97480874,5.091408929,1.25
"D4","CRIOLLO","S0","LabConvTra",0,1,0,0,1,0,0,1,1,138,0,0,29,18,0.967090278,16.73567361,84.83472222,14.29119497,10.52201258,75988.39,0,499.5,0,82.77830189,5.084785472,2.5
"D2","CRIOLLO","S0","LabConvTra",0,1,0,0,1,0,0,1,1,64,46,0,44,20,1.019558155,32.35618467,91.24216594,15.15497076,10.73216374,83122.11,0,661.1,0,81.93497076,5.703277321,1.5
"D4","CRIOLLO","S0","LabConvTra",0,1,0,0,2,0,0,1,0,110,46,0,16,17,0.837641723,8.636989795,70.3473167,15.19570552,10.60736196,79248.06,0,660,0,82.20202454,5.597004177,1.6
"D2","CRIOLLO","S0","LabConvTra",0,1,0,0,1,0,0,1,1,64,46,0,44,20,1.019558155,32.35618467,91.24216594,15.3172619,10.76130952,81832.99,0,691.5,0,81.78083333,6.023718232,2
"D4","CRIOLLO","S0","LabConvTra",0,2,0,0,2,0,0,2,0,165,69,0,29,22,2.958520648,27.59935301,84.78686529,14.8575,11.68875,118953.4,0,840,0,79.76291667,7.419393438,2
"D2","CRIOLLO","S0","LabCeroMin",0,0,0,1,2,0,0,1,1,55,23,0,47,22,1.649208333,33.06071875,94.03358333,14.22513661,10.62896175,87067.55,0,549.2,0,82.55344262,5.115587004,1.1
"D4","CRIOLLO","S0","AgrCons",0,0,0,1,2,0,0,1,1,138,0,0,30,26,9.0025,41.59819444,81.60180556,18.20502298,12.35846862,80652.59148,0.057692308,2864.6,0,73.75906885,9.809641103,3.1
"D4","CRIOLLO","S0","LabCeroMin",0,0,0,1,1,1,0,1,0,33.6147,0.08,0.06,22,22,1.167548805,22.4036886,94.37760732,17.80114675,10.09497973,52224.66038,0,1411,0.005181347,82.26314415,4.642467454,2
"D4","CRIOLLO","S0","LabCeroMin",0,0,0,1,1,1,0,1,0,46.1147,0.08,0.06,22,22,1.167548805,22.4036886,94.37760732,18.31116753,9.768680046,49483.44038,0,1515,0.005524862,82.49909846,4.305202645,2.5
"D4","CRIOLLO","S1","LabCeroMin",0,0,0,1,2,1,0,1,0,79.5,0,0,22,22,1.167548805,22.4036886,94.37760732,18.19320849,10.12478369,54776.16038,0.009852217,1612.2,0.004926108,82.08643754,4.588666263,2
